rate,pop_idx,pop_name,n_trials_with_both_peaks,f0_hz_mean,f0_hz_std,flow_hz_mean,flow_hz_std,flow_over_f0_mean,flow_over_f0_std,flow_over_f0_sem,freq_resolution_hz_mean,consistent_with_0.5_subharmonic
06.27,7,L6I,10.0,78.90625,2.4190600590480766,40.2099609375,2.7837503649989195,0.5098977938931267,0.037132470596182264,0.01174231822331664,0.244140625,False
06.53,0,L23E,10.0,79.78515625,2.5832288167176363,39.55078125,2.9900997836708716,0.4955891450112861,0.032028112607155344,0.010128178499496456,0.244140625,False
06.53,1,L23I,10.0,79.736328125,2.0204593273024383,39.9169921875,2.699689520735412,0.5007307947364292,0.033371505011704834,0.01055299647847113,0.244140625,True
06.53,2,L4E,10.0,79.6630859375,1.7682179603727186,39.5263671875,3.16117855134911,0.4962036329503965,0.038293860028358426,0.01210958180892927,0.244140625,False
06.53,3,L4I,10.0,78.3203125,1.3510095032192144,39.16015625,2.1196380984504826,0.5002040223347048,0.02962213002967579,0.009367340003944664,0.244140625,True
06.53,4,L5E,10.0,78.7353515625,2.3395925311629315,38.7939453125,2.4722712603597707,0.49307583094028,0.03417467008947049,0.010806979576755704,0.244140625,False
06.53,5,L5I,10.0,79.5166015625,2.6621405417058552,39.8681640625,2.7163197067654834,0.5015353941741558,0.0328360048229572,0.010383656450081869,0.244140625,True
06.53,6,L6E,10.0,78.1494140625,1.9715184790374922,38.5986328125,1.9882435706598107,0.49414369164601535,0.027603481171762957,0.008728987185234448,0.244140625,False
06.53,7,L6I,10.0,78.61328125,2.338884743359361,39.6728515625,3.034619847328138,0.5045422963408589,0.03394368965153786,0.010733937148874675,0.244140625,False
06.78,0,L23E,10.0,78.271484375,2.7578166496958865,39.990234375,2.2011804438547107,0.5114530182845085,0.033104098956938374,0.010468435259152956,0.244140625,False
06.78,1,L23I,10.0,78.5400390625,2.336193194051654,39.3798828125,1.8343972673568338,0.5018132581508796,0.027870938004341934,0.008813564461906837,0.244140625,True
06.78,2,L4E,10.0,79.4677734375,2.50103505218576,39.1845703125,1.8494984012635924,0.493422497530741,0.02562782930667735,0.008104231209511427,0.244140625,False
06.78,3,L4I,10.0,79.6875,2.6324956535359023,41.3330078125,2.9724392638379347,0.5193667890331755,0.043743615721127053,0.013832945876991038,0.244140625,False
06.78,4,L5E,10.0,77.978515625,1.6405733292127802,40.8447265625,2.261286414388429,0.5242044066096865,0.03464700655668773,0.010956345482592098,0.244140625,False
