rate,trial,pop_idx,pop_name,fs,n_samples,freq_resolution_hz,f0_hz,f0_power,flow_hz,flow_power,flow_over_f0
05.0,5,5,L5I,1000.0,300000,0.244140625,81.298828125,0.0012486079509496579,36.865234375,0.004978338838442246,0.45345345345345345
05.0,5,6,L6E,1000.0,300000,0.244140625,76.416015625,0.013746460710648691,37.841796875,0.03920715597109598,0.4952076677316294
05.0,5,7,L6I,1000.0,300000,0.244140625,81.298828125,0.003759230148826629,36.865234375,0.016134672029269853,0.45345345345345345
05.0,6,0,L23E,1000.0,300000,0.244140625,77.1484375,0.0009368995756762314,39.794921875,0.003165657737318219,0.5158227848101266
05.0,6,1,L23I,1000.0,300000,0.244140625,79.58984375,0.0021677730407112118,37.109375,0.009363292045492154,0.4662576687116564
05.0,6,2,L4E,1000.0,300000,0.244140625,80.078125,0.01378772549667006,41.259765625,0.046098406244644737,0.5152439024390244
05.0,6,3,L4I,1000.0,300000,0.244140625,82.763671875,0.005840661613704866,37.841796875,0.02492047942706098,0.45722713864306785
05.0,6,4,L5E,1000.0,300000,0.244140625,78.857421875,0.012775536923471675,35.64453125,0.045523964833967104,0.4520123839009288
05.0,6,5,L5I,1000.0,300000,0.244140625,81.298828125,0.001784147632151837,37.109375,0.006561964857124475,0.45645645645645644
05.0,6,6,L6E,1000.0,300000,0.244140625,81.787109375,0.008712692567584971,38.330078125,0.03514715303935727,0.46865671641791046
05.0,6,7,L6I,1000.0,300000,0.244140625,83.251953125,0.0045715501485251425,43.212890625,0.015715248077666447,0.5190615835777126
05.0,7,0,L23E,1000.0,300000,0.244140625,76.416015625,6.788534372832933e-07,36.62109375,2.145444790038313e-06,0.4792332268370607
05.0,7,1,L23I,1000.0,300000,0.244140625,76.904296875,0.001703160605591672,41.015625,0.005195111931926072,0.5333333333333333
05.0,7,2,L4E,1000.0,300000,0.244140625,80.56640625,0.0018537012157878955,40.0390625,0.006580689478064189,0.49696969696969695
05.0,7,3,L4I,1000.0,300000,0.244140625,76.171875,0.004561806389685722,39.794921875,0.01298914416883691,0.5224358974358975
05.0,7,4,L5E,1000.0,300000,0.244140625,81.0546875,0.013205651096714932,39.794921875,0.048923653440279075,0.49096385542168675
05.0,7,5,L5I,1000.0,300000,0.244140625,78.369140625,0.0009616376855508435,39.306640625,0.0028863863192911355,0.5015576323987538
05.0,7,6,L6E,1000.0,300000,0.244140625,76.416015625,0.014024176282192047,38.57421875,0.044369231948248614,0.5047923322683706
05.0,7,7,L6I,1000.0,300000,0.244140625,80.56640625,0.0033499823002845932,42.48046875,0.010929519880503858,0.5272727272727272
05.0,8,0,L23E,1000.0,300000,0.244140625,76.171875,0.00013455203588164438,36.62109375,0.00042438450203846644,0.4807692307692308
05.0,8,1,L23I,1000.0,300000,0.244140625,75.439453125,0.0017988669861695285,37.59765625,0.005440829722416525,0.49838187702265374
05.0,8,2,L4E,1000.0,300000,0.244140625,78.61328125,0.007588432425357824,40.0390625,0.023595564075130422,0.5093167701863354
05.0,8,3,L4I,1000.0,300000,0.244140625,75.927734375,0.005537775553309172,39.55078125,0.01801052863504283,0.5209003215434084
05.0,8,4,L5E,1000.0,300000,0.244140625,75.68359375,0.015972843265370292,38.57421875,0.040737148775315146,0.5096774193548387
05.0,8,5,L5I,1000.0,300000,0.244140625,78.61328125,0.0013767752278437285,37.353515625,0.0048617185047896425,0.4751552795031056
05.0,8,6,L6E,1000.0,300000,0.244140625,75.927734375,0.012262523399098172,36.62109375,0.0410875343287278,0.48231511254019294
05.0,8,7,L6I,1000.0,300000,0.244140625,81.54296875,0.003937251272045437,44.189453125,0.013311185206802148,0.5419161676646707
05.0,9,0,L23E,1000.0,300000,0.244140625,75.1953125,7.762511988984065e-08,35.15625,2.390847733881839e-07,0.4675324675324675
05.0,9,1,L23I,1000.0,300000,0.244140625,79.1015625,0.002097460884796294,38.57421875,0.008711512547736559,0.4876543209876543
05.0,9,2,L4E,1000.0,300000,0.244140625,79.1015625,0.0012196590544620199,37.841796875,0.004331210380403128,0.4783950617283951
05.0,9,3,L4I,1000.0,300000,0.244140625,79.345703125,0.0036068206021667095,37.109375,0.012960795093712812,0.4676923076923077
05.0,9,4,L5E,1000.0,300000,0.244140625,82.275390625,0.013518846544541085,36.865234375,0.05118581858438258,0.44807121661721067
05.0,9,5,L5I,1000.0,300000,0.244140625,78.369140625,0.00082642968457281,37.353515625,0.0028443895884001686,0.4766355140186916
05.0,9,6,L6E,1000.0,300000,0.244140625,77.392578125,0.014479442814658605,39.55078125,0.04153963983537839,0.5110410094637224
05.0,9,7,L6I,1000.0,300000,0.244140625,82.51953125,0.002578389241633677,39.0625,0.012085750108751831,0.47337278106508873
05.25,0,0,L23E,1000.0,300000,0.244140625,79.58984375,0.0028456871484148164,37.841796875,0.010822502525619315,0.4754601226993865
05.25,0,1,L23I,1000.0,300000,0.244140625,75.927734375,0.004378071294537997,42.48046875,0.012748270852546264,0.5594855305466238
05.25,0,2,L4E,1000.0,300000,0.244140625,80.810546875,0.023208698552264182,42.48046875,0.07365039774313654,0.525679758308157
05.25,0,3,L4I,1000.0,300000,0.244140625,79.345703125,0.008051402028367714,37.841796875,0.029268860552418577,0.47692307692307695
05.25,0,4,L5E,1000.0,300000,0.244140625,77.1484375,0.013917460249864826,42.96875,0.03878633577156059,0.5569620253164557
